thread nodes time
1756 1633 448.446930
1757 1 448.446930
1758 1668 448.446930
1759 0 448.446930
1792 0 448.446930
1793 1595 448.446930
1794 3274 448.446930
1795 1648 448.446930
1796 0 448.446930
1797 0 448.446930
1798 1654 448.446930
1799 1668 448.446930
1800 0 448.446930
1801 0 448.446930
1802 1654 448.446930
1803 1696 448.446930
1804 0 448.446930
1805 1706 448.446930
1806 2 448.446930
1807 1594 448.446930
1760 1652 453.592346
1761 3213 453.592346
1762 0 453.592346
1763 1 453.592346
1764 0 453.592346
1765 1599 453.592346
1766 3307 453.592346
1767 1620 453.592346
1768 3283 453.592346
1769 5 453.592346
1770 0 453.592346
1771 3334 453.592346
1772 1624 453.592346
1773 0 453.592346
1774 2 453.592346
1775 0 453.592346
1808 0 453.592346
1809 0 453.592346
1810 1615 453.592346
1811 0 453.592346
1812 1686 453.592346
1813 3352 453.592346
1814 1685 453.592346
1815 1 453.592346
1816 0 453.592346
1817 0 453.592346
1818 0 453.592346
1819 3354 453.592346
1820 1 453.592346
1821 1633 453.592346
1822 3339 453.592346
1823 0 453.592346
416 0 461.456604
417 0 461.456604
418 0 461.456604
419 1627 461.456604
420 1 461.456604
421 0 461.456604
422 3356 461.456604
423 0 461.456604
424 3355 461.456604
425 1689 461.456604
426 1 461.456604
427 0 461.456604
428 13 461.456604
429 1 461.456604
430 1677 461.456604
431 1668 461.456604
464 0 461.456604
465 1 461.456604
466 2 461.456604
467 0 461.456604
468 1657 461.456604
469 1671 461.456604
470 3293 461.456604
471 0 461.456604
472 0 461.456604
473 4 461.456604
474 0 461.456604
475 0 461.456604
476 1683 461.456604
477 1 461.456604
478 3316 461.456604
479 0 461.456604
2128 3 467.334015
2129 3268 467.334015
2130 0 467.334015
2131 0 467.334015
2132 3343 467.334015
2133 1 467.334015
2134 3359 467.334015
2135 0 467.334015
2136 1601 467.334015
2137 1625 467.334015
2138 0 467.334015
2139 1659 467.334015
2140 0 467.334015
2141 0 467.334015
2142 1625 467.334015
2143 3242 467.334015
2176 1 467.334015
2177 1669 467.334015
2178 1598 467.334015
2179 0 467.334015
2180 1662 467.334015
2181 3338 467.334015
2182 1698 467.334015
2183 1661 467.334015
2184 1630 467.334015
2185 1686 467.334015
2186 0 467.334015
2187 0 467.334015
2188 1667 467.334015
2189 0 467.334015
2190 0 467.334015
2191 0 467.334015
480 0 473.566956
481 1 473.566956
482 0 473.566956
483 1702 473.566956
484 0 473.566956
485 1659 473.566956
486 3334 473.566956
487 3353 473.566956
488 1 473.566956
489 1666 473.566956
490 12 473.566956
491 0 473.566956
492 1714 473.566956
493 1685 473.566956
494 1675 473.566956
495 0 473.566956
528 1 473.566956
529 1680 473.566956
530 1 473.566956
531 1619 473.566956
532 0 473.566956
533 1622 473.566956
534 2 473.566956
535 1626 473.566956
536 0 473.566956
537 1624 473.566956
538 0 473.566956
539 2 473.566956
540 1 473.566956
541 1 473.566956
542 1716 473.566956
543 1667 473.566956
880 1571 473.624512
881 1648 473.624512
882 0 473.624512
883 0 473.624512
884 1649 473.624512
885 0 473.624512
886 1684 473.624512
887 1686 473.624512
888 0 473.624512
889 0 473.624512
890 0 473.624512
891 1 473.624512
892 5 473.624512
893 0 473.624512
894 3254 473.624512
895 4890 473.624512
928 1623 473.624512
929 0 473.624512
930 0 473.624512
931 0 473.624512
932 1566 473.624512
933 1627 473.624512
934 1620 473.624512
935 0 473.624512
936 1661 473.624512
937 0 473.624512
938 0 473.624512
939 0 473.624512
940 1638 473.624512
941 1 473.624512
942 3289 473.624512
943 1 473.624512
1440 2 482.621826
1441 1681 482.621826
1442 0 482.621826
1443 1649 482.621826
1444 0 482.621826
1445 1641 482.621826
1446 0 482.621826
1447 1677 482.621826
1448 0 482.621826
1449 1650 482.621826
1450 0 482.621826
1451 1 482.621826
1452 0 482.621826
1453 1 482.621826
1454 0 482.621826
1455 0 482.621826
1488 3314 482.621826
1489 1682 482.621826
1490 0 482.621826
1491 3284 482.621826
1492 0 482.621826
1493 1643 482.621826
1494 3282 482.621826
1495 1522 482.621826
1496 1647 482.621826
1497 1634 482.621826
1498 1663 482.621826
1499 3328 482.621826
1500 3 482.621826
1501 3279 482.621826
1502 1681 482.621826
1503 0 482.621826
608 1717 485.861298
609 0 485.861298
610 0 485.861298
611 0 485.861298
612 1 485.861298
613 0 485.861298
614 1645 485.861298
615 1 485.861298
616 0 485.861298
617 2 485.861298
618 1658 485.861298
619 1654 485.861298
620 3 485.861298
621 0 485.861298
622 0 485.861298
623 2 485.861298
656 0 485.861298
657 0 485.861298
658 1596 485.861298
659 1633 485.861298
660 0 485.861298
661 0 485.861298
662 3266 485.861298
663 1635 485.861298
664 1714 485.861298
665 3338 485.861298
666 1665 485.861298
667 4896 485.861298
668 0 485.861298
669 1683 485.861298
670 1665 485.861298
671 0 485.861298
1856 2 487.320404
1857 2 487.320404
1858 5 487.320404
1859 1 487.320404
1860 1 487.320404
1861 1 487.320404
1862 1 487.320404
1863 0 487.320404
1864 1648 487.320404
1865 1632 487.320404
1866 0 487.320404
1867 1649 487.320404
1868 1682 487.320404
1869 1716 487.320404
1870 0 487.320404
1871 1692 487.320404
1904 0 487.320404
1905 1666 487.320404
1906 1608 487.320404
1907 1673 487.320404
1908 0 487.320404
1909 1643 487.320404
1910 0 487.320404
1911 1608 487.320404
1912 0 487.320404
1913 1662 487.320404
1914 4939 487.320404
1915 2 487.320404
1916 1619 487.320404
1917 4938 487.320404
1918 1663 487.320404
1919 0 487.320404
688 1623 488.523254
689 0 488.523254
690 5 488.523254
691 0 488.523254
692 1673 488.523254
693 0 488.523254
694 1615 488.523254
695 1647 488.523254
696 3270 488.523254
697 2 488.523254
698 2 488.523254
699 0 488.523254
700 3231 488.523254
701 3289 488.523254
702 1692 488.523254
703 3266 488.523254
736 1630 488.523254
737 3374 488.523254
738 1 488.523254
739 0 488.523254
740 0 488.523254
741 1592 488.523254
742 1 488.523254
743 0 488.523254
744 1663 488.523254
745 0 488.523254
746 0 488.523254
747 0 488.523254
748 1683 488.523254
749 0 488.523254
750 1651 488.523254
751 1601 488.523254
672 1 489.399200
673 1648 489.399200
674 0 489.399200
675 0 489.399200
676 3271 489.399200
677 1622 489.399200
678 1625 489.399200
679 0 489.399200
680 1664 489.399200
681 1 489.399200
682 1 489.399200
683 1668 489.399200
684 0 489.399200
685 1703 489.399200
686 1 489.399200
687 1 489.399200
720 1663 489.399200
721 3321 489.399200
722 1641 489.399200
723 3337 489.399200
724 1595 489.399200
725 0 489.399200
726 1611 489.399200
727 1608 489.399200
728 1691 489.399200
729 1657 489.399200
730 1628 489.399200
731 1695 489.399200
732 1 489.399200
733 3 489.399200
734 1627 489.399200
735 1 489.399200
2112 0 491.412231
2113 5 491.412231
2114 0 491.412231
2115 1644 491.412231
2116 0 491.412231
2117 3249 491.412231
2118 0 491.412231
2119 1650 491.412231
2120 0 491.412231
2121 1630 491.412231
2122 0 491.412231
