thread nodes time
1105 1609 509.071625
1106 0 509.071625
1107 1658 509.071625
1108 0 509.071625
1109 1 509.071625
1110 1668 509.071625
1111 1653 509.071625
1112 1 509.071625
1113 0 509.071625
1114 0 509.071625
1115 1 509.071625
1116 1650 509.071625
1117 3280 509.071625
1118 0 509.071625
1119 0 509.071625
128 1597 510.962433
129 0 510.962433
130 0 510.962433
131 0 510.962433
132 0 510.962433
133 2 510.962433
134 0 510.962433
135 1 510.962433
136 0 510.962433
137 1 510.962433
138 1638 510.962433
139 0 510.962433
140 1 510.962433
141 0 510.962433
142 1 510.962433
143 5 510.962433
176 3328 510.962433
177 1 510.962433
178 1 510.962433
179 1645 510.962433
180 0 510.962433
181 0 510.962433
182 3289 510.962433
183 3269 510.962433
184 1677 510.962433
185 1629 510.962433
186 1576 510.962433
187 1674 510.962433
188 1 510.962433
189 1655 510.962433
190 1612 510.962433
191 4916 510.962433
2240 1673 511.315582
2241 3270 511.315582
2242 1650 511.315582
2243 1619 511.315582
2244 1604 511.315582
2245 0 511.315582
2246 0 511.315582
2247 0 511.315582
2248 1615 511.315582
2249 1683 511.315582
2250 1648 511.315582
2251 0 511.315582
2252 0 511.315582
2253 1663 511.315582
2254 2 511.315582
2255 0 511.315582
2288 0 511.315582
2289 0 511.315582
2290 3302 511.315582
2291 1629 511.315582
2292 2 511.315582
2293 1662 511.315582
2294 1 511.315582
2295 1649 511.315582
2296 1619 511.315582
2297 3219 511.315582
2298 1660 511.315582
2299 0 511.315582
2300 0 511.315582
2301 1679 511.315582
2302 1700 511.315582
2303 1603 511.315582
192 1631 510.829559
193 1634 510.829559
194 1606 510.829559
195 1662 510.829559
196 3354 510.829559
197 1658 510.829559
198 1 510.829559
199 0 510.829559
200 0 510.829559
201 1674 510.829559
202 1586 510.829559
203 1630 510.829559
204 1594 510.829559
205 0 510.829559
206 1616 510.829559
207 1661 510.829559
240 0 510.829559
241 0 510.829559
242 0 510.829559
243 3146 510.829559
244 0 510.829559
245 1656 510.829559
246 0 510.829559
247 3272 510.829559
248 1651 510.829559
249 3 510.829559
250 1653 510.829559
251 4 510.829559
252 2 510.829559
253 1660 510.829559
254 3363 510.829559
255 0 510.829559
992 3228 514.009338
993 0 514.009338
994 0 514.009338
995 1673 514.009338
996 1673 514.009338
997 1636 514.009338
998 0 514.009338
999 3300 514.009338
1000 1 514.009338
1001 1719 514.009338
1002 0 514.009338
1003 1652 514.009338
1004 1681 514.009338
1005 1690 514.009338
1006 0 514.009338
1007 1 514.009338
1040 1659 514.009338
1041 6 514.009338
1042 1657 514.009338
1043 9 514.009338
1044 3320 514.009338
1045 0 514.009338
1046 0 514.009338
1047 0 514.009338
1048 1721 514.009338
1049 0 514.009338
1050 0 514.009338
1051 1636 514.009338
1052 1675 514.009338
1053 3294 514.009338
1054 1629 514.009338
1055 1668 514.009338
1648 3362 512.491089
1649 2 512.491089
1650 3332 512.491089
1651 1627 512.491089
1652 0 512.491089
1653 1633 512.491089
1654 0 512.491089
1655 1 512.491089
1656 1679 512.491089
1657 3307 512.491089
1658 1613 512.491089
1659 0 512.491089
1660 0 512.491089
1661 1623 512.491089
1662 1 512.491089
1663 0 512.491089
1696 0 512.491089
1697 0 512.491089
1698 0 512.491089
1699 1 512.491089
1700 1673 512.491089
1701 0 512.491089
1702 0 512.491089
1703 1 512.491089
1704 1670 512.491089
1705 1663 512.491089
1706 1 512.491089
1707 4897 512.491089
1708 3308 512.491089
1709 2 512.491089
1710 1662 512.491089
1711 1 512.491089
1952 3 515.041077
1953 1 515.041077
1954 1670 515.041077
1955 1 515.041077
1956 1 515.041077
1957 0 515.041077
1958 3362 515.041077
1959 1652 515.041077
1960 1653 515.041077
1961 8 515.041077
1962 0 515.041077
1963 1650 515.041077
1964 1587 515.041077
1965 3233 515.041077
1966 0 515.041077
1967 1546 515.041077
2000 3304 515.041077
2001 1651 515.041077
2002 0 515.041077
2003 1659 515.041077
2004 0 515.041077
2005 1 515.041077
2006 1 515.041077
2007 0 515.041077
2008 0 515.041077
2009 2 515.041077
2010 1653 515.041077
2011 0 515.041077
2012 1611 515.041077
2013 3377 515.041077
2014 4 515.041077
2015 1657 515.041077
384 1609 513.639954
385 1672 513.639954
386 1623 513.639954
387 2 513.639954
388 0 513.639954
389 0 513.639954
390 0 513.639954
391 0 513.639954
392 1650 513.639954
393 1689 513.639954
394 3285 513.639954
395 3406 513.639954
396 0 513.639954
397 1643 513.639954
398 1637 513.639954
399 3326 513.639954
432 12 513.639954
433 0 513.639954
434 1 513.639954
435 0 513.639954
436 6 513.639954
437 1620 513.639954
438 1668 513.639954
439 1659 513.639954
440 1634 513.639954
441 0 513.639954
442 1615 513.639954
443 1679 513.639954
444 1698 513.639954
445 0 513.639954
446 1634 513.639954
447 0 513.639954
1664 3258 521.387146
1665 1 521.387146
1666 1 521.387146
1667 0 521.387146
1668 0 521.387146
1669 1670 521.387146
1670 1648 521.387146
1671 1657 521.387146
1672 1645 521.387146
1673 0 521.387146
1674 0 521.387146
1675 0 521.387146
1676 4996 521.387146
1677 3334 521.387146
1678 1 521.387146
1679 1657 521.387146
1712 1674 521.387146
1713 1660 521.387146
1714 1627 521.387146
1715 0 521.387146
1716 1 521.387146
1717 0 521.387146
1718 1699 521.387146
1719 0 521.387146
1720 1700 521.387146
1721 1641 521.387146
1722 1666 521.387146
1723 1641 521.387146
1724 1694 521.387146
1725 1621 521.387146
1726 0 521.387146
1727 0 521.387146
688 0 520.555725
689 1563 520.555725
690 1 520.555725
691 2 520.555725
692 1632 520.555725
693 5 520.555725
694 1652 520.555725
695 1708 520.555725
696 1762 520.555725
697 1 520.555725
698 3317 520.555725
699 1670 520.555725
700 1684 520.555725
701 2 520.555725
702 1715 520.555725
703 4 520.555725
736 1633 520.555725
737 1684 520.555725
738 8 520.555725
739 1617 520.555725
740 1657 520.555725
741 3284 520.555725
742 1658 520.555725
743 1649 520.555725
744 1 520.555725
745 1658 520.555725
746 1667 520.555725
747 5002 520.555725
748 0 520.555725
749 1703 520.555725
750 1 520.555725
751 2 520.555725
1856 1628 523.105347
1857 0 523.105347
1858 0 523.105347
1859 2 523.105347
1860 1650 523.105347
1861 1635 523.105347
1862 0 523.105347
1863 3284 523.105347
1864 1682 523.105347
1865 0 523.105347
1866 1 523.105347
1867 1 523.105347
1868 1664 523.105347
1869 1642 523.105347
1870 1666 523.105347
1871 1575 523.105347
